Key,Id,Chinese (Simplified)(zh-CN),English(en),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es)
"l1e7 74",39858674068512812,"首先，<pause:0.75>，<pause:0.75>，因为我担心我的弟弟。","Well,<pause:0.75> first of all,<pause:0.75> because I worry about my little brother.","Eh bien, tout d'abord, parce que je m'inquiète pour mon petit frère.","Nun ja, zuallererst, weil ich mir Sorgen um meinen kleinen Bruder mache.","Bem, primeiro de tudo, porque me preocupo com meu irmãozinho.","Ну,<pause:0.75> во-первых,<pause:0.75> потому что я переживаю за моего младшего братишку.","Bueno,<pause:0.75> primero que todo,<pause:0.75> porque me preocupa mi hermano pequeño."
"l1e7 75",39858674068512813,"如果没有我，他肯定会给自己惹麻烦。","Who would absolutely get himself into trouble without me.","Qui se mettrait forcément dans le pétrin sans moi.","Der würde sich ohne mich ganz sicher in Schwierigkeiten bringen.","Quem com certeza se meteria em encrenca sem mim?","Который без меня обязательно наделает глупостей.","¿Quién se metería en problemas sin mí?"
"l1e7 76",39858674068512814,"其次，我也想要一部分股份。","And second, I want a share.","Et deuxièmement, je veux une part.","Und zweitens möchte ich einen Anteil.","E em segundo lugar, quero uma parte.","А во-вторых я хочу в долю.","Y segundo, quiero una parte."
"l1e7 77",39858674072707072,"我不相信你！","I don't believe you!","Je ne te crois pas !","Ich glaube dir nicht!","Não acredito em você!","Я тебе не верю!","¡No te creo!"
"l1e7 78",39858674072707073,"你几乎可以凭空赚钱！","You can practically make money out of thin air!","On peut pratiquement gagner de l'argent à partir de rien !","Man kann praktisch aus dem Nichts Geld schöpfen!","É possível praticamente ganhar dinheiro do nada!","Ты буквально можешь делать деньги из воздуха!","¡Prácticamente puedes hacer dinero de la nada!"
"l1e7 79",39858674072707074,"你为什么要投资一家不知名的餐厅？","Why would you want a stake in some random restaurant?","Pourquoi voudriez-vous avoir des parts dans un restaurant quelconque ?","Warum sollte man Anteile an irgendeinem beliebigen Restaurant erwerben wollen?","Por que alguém iria querer ter participação em um restaurante qualquer?","Зачем тебе доля какой-то кафешки?","¿Por qué querrías tener una participación en algún restaurante cualquiera?"
"l1e7 80",39858674072707075,"哦，你真以为我永远不会长大吗？","Oh, did you really think I'd never grow up?","Ah bon, tu croyais vraiment que je ne grandirais jamais ?","Oh, hast du etwa wirklich geglaubt, ich würde nie erwachsen werden?","Ah, você realmente achou que eu nunca ia crescer?","Ой, ну ты правда думал, что я никогда не повзрослею?","Oh, ¿de verdad pensaste que nunca crecería?"
"l1e7 81",39858674072707076,"我不想安定下来？<pause:0.75> 有合法的收入来源？","That I wouldn't want to settle down?<pause:0.75> Have a legitThat I wouldn't mate source of income?","Que je ne voudrais pas me poser ?<pause:0.75> Avoir une source de revenus légitime ?","Dass ich mich nicht niederlassen möchte?<pause:0.75> Habe ich eine legitime Einkommensquelle?","Que eu não gostaria de me estabelecer?<pause:0.75> Ter uma fonte de renda legítima?","Не захочу остепениться?<pause:0.75> Обзавестись легальным источником дохода?","¿Que no me gustaría establecerme?<pause:0.75> ¿Tiene una fuente legítima de ingresos?"
"l1e7 82",39858674072707077,"你伤了我的心。","You're hurting my feelings.","Tu me blesses.","Du verletzst meine Gefühle.","Você está magoando meus sentimentos.","Ты меня обижаешь.","Estás hiriendo mis sentimientos."
"l1e7 83",39858674072707078,"...","...","...","...","...","...","..."
"l1e7 84",39858674072707079,"什么？<pause:0.75> 你真的认为我在骗你吗？","What?<pause:0.75> Do you really think I'm trying to trick you?","Quoi ?<pause:0.75> Vous pensez vraiment que j'essaie de vous piéger ?","Was?<pause:0.75> Glaubst du wirklich, ich versuche, dich hereinzulegen?","O quê?<pause:0.75> Você realmente acha que estou tentando te enganar?","Ну что такое?<pause:0.75> Ты правда думаешь, что я пытаюсь тебя обвести вокруг пальца?","¿Qué?<pause:0.75> ¿De verdad crees que estoy intentando engañarte?"
"l1e7 85",39858674072707080,"我曾经多少次试图伤害你？<pause:0.75> 抢劫你？<pause:0.75> 陷害你？","How many times have I ever tried to hurt you?<pause:0.75> Rob you?<pause:0.75> Set you up?","Combien de fois ai-je essayé de te faire du mal ?<pause:0.75> T'ai volé ?<pause:0.75> T'ai piégé ?","Wie oft habe ich jemals versucht, dich zu verletzen?<pause:0.75> Dich auszurauben?<pause:0.75> Dich in eine Falle zu locken?","Quantas vezes tentei te machucar?<pause:0.75> Te roubar?<pause:0.75> Te armar uma cilada?","Сколько раз я пытался как-то навредить тебе?<pause:0.75> Обокрасть?<pause:0.75> Подставить?","¿Cuántas veces he intentado hacerte daño?<pause:0.75> ¿Robarte?<pause:0.75> ¿Tenerte una trampa?"
"l1e7 86",39858674072707081,"一次也没有。","Not once.","Pas une seule fois.","Nicht ein einziges Mal.","Nem uma vez.","Ни разу.","Ni una sola vez."
"l1e7 87",39858674072707082,"那你还在等什么？","Then what are you waiting for?","Alors qu'attendez-vous ?","Worauf wartest du dann noch?","Então, o que você está esperando?","Тогда чего же ты ждешь?","Entonces ¿qué estás esperando?"
"l1e7 88",39858674072707083,"合作伙伴？","Partners?","Partenaires?","Partner?","Parceiros?","Партнеры?","¿Fogonadura?"
"l1e7 89",39858674072707084,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 好的，<pause:0.75> 伙伴们！","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Alright,<pause:0.75> partners!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Très bien,<pause:0.75> partenaires !","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Okay,<pause:0.75> Partner!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Muito bem,<pause:0.75> parceiros!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ладно,<pause:0.75> партнеры!","Muy bien, compañeros."
"l1e7 90",39890501168685056,"他们的奇妙冒险之旅就此开始！","And their incredible adventure has begun!","Et leur incroyable aventure a commencé !","Und ihr unglaubliches Abenteuer hat begonnen!","E a incrível aventura deles começou!","И их невероятное приключение началось!","¡Y su increíble aventura ha comenzado!"
