Key,Id,English(en),Russian(ru),Spanish(es),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Chinese (Simplified)(zh-CN)
l1e7 78,,Why would you want a stake in some random restaurant?,Зачем тебе доля какой-то кафешки?,¿Por qué querrías tener una participación en algún restaurante cualquiera?,Pourquoi voudriez-vous avoir des parts dans un restaurant quelconque ?,Warum sollte man Anteile an irgendeinem beliebigen Restaurant erwerben wollen?,Por que alguém iria querer ter participação em um restaurante qualquer?,你为什么要投资一家不知名的餐厅？
l1e7 79,,"Oh, did you really think I’d never grow up?","Ой, ну ты правда думал, что я никогда не повзрослею?","Oh, ¿de verdad pensaste que nunca crecería?","Ah bon, tu croyais vraiment que je ne grandirais jamais ?","Oh, hast du etwa wirklich geglaubt, ich würde nie erwachsen werden?","Ah, você realmente achou que eu nunca ia crescer?",哦，你真以为我永远不会长大吗？
l1e7 80,,That I wouldn’t want to settle down?<pause:0.75> Have a legitimate source of income?,Не захочу остепениться?<pause:0.75> Обзавестись легальным источником дохода?,¿Que no me gustaría establecerme?<pause:0.75> ¿Tiene una fuente legítima de ingresos?,Que je ne voudrais pas me poser ?<pause:0.75> Avoir une source de revenus légitime ?,Dass ich mich nicht niederlassen möchte?<pause:0.75> Habe ich eine legitime Einkommensquelle?,Que eu não gostaria de me estabelecer?<pause:0.75> Ter uma fonte de renda legítima?,我不想安定下来？<pause:0.75> 有合法的收入来源？
l1e7 81,,You’re hurting my feelings.,Ты меня обижаешь.,Estás hiriendo mis sentimientos.,Tu me blesses.,Du verletzst meine Gefühle.,Você está magoando meus sentimentos.,你伤了我的心。
l1e7 82,,...,...,...,...,...,...,...
l1e7 83,,What?<pause:0.75> Do you really think I’m trying to trick you?,"Ну что такое?<pause:0.75> Ты правда думаешь, что я пытаюсь тебя обвести вокруг пальца?",¿Qué?<pause:0.75> ¿De verdad crees que estoy intentando engañarte?,Quoi ?<pause:0.75> Vous pensez vraiment que j’essaie de vous piéger ?,"Was?<pause:0.75> Glaubst du wirklich, ich versuche, dich hereinzulegen?",O quê?<pause:0.75> Você realmente acha que estou tentando te enganar?,什么？<pause:0.75> 你真的认为我在骗你吗？
l1e7 84,,How many times have I ever tried to hurt you?<pause:0.75> Rob you?<pause:0.75> Set you up?,Сколько раз я пытался как-то навредить тебе?<pause:0.75> Обокрасть?<pause:0.75> Подставить?,¿Cuántas veces he intentado hacerte daño?<pause:0.75> ¿Robarte?<pause:0.75> ¿Tenerte una trampa?,Combien de fois ai-je essayé de te faire du mal ?<pause:0.75> T'ai volé ?<pause:0.75> T'ai piégé ?,"Wie oft habe ich jemals versucht, dich zu verletzen?<pause:0.75> Dich auszurauben?<pause:0.75> Dich in eine Falle zu locken?",Quantas vezes tentei te machucar?<pause:0.75> Te roubar?<pause:0.75> Te armar uma cilada?,我曾经多少次试图伤害你？<pause:0.75> 抢劫你？<pause:0.75> 陷害你？
l1e7 85,,Not once.,Ни разу.,Ni una sola vez.,Pas une seule fois.,Nicht ein einziges Mal.,Nem uma vez.,一次也没有。
l1e7 86,,Then what are you waiting for?,Тогда чего же ты ждешь?,Entonces ¿qué estás esperando?,Alors qu'attendez-vous ?,Worauf wartest du dann noch?,"Então, o que você está esperando?",那你还在等什么？
l1e7 87,,Partners?,Партнеры?,¿Fogonadura?,Partenaires?,Partner?,Parceiros?,合作伙伴？
l1e7 88,,"<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Alright,<pause:0.75> partners!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Ладно,<pause:0.75> партнеры!","Muy bien, compañeros.","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Très bien,<pause:0.75> partenaires !","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Okay,<pause:0.75> Partner!","<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> Muito bem,<pause:0.75> parceiros!",<volume:0>.<pause:0.5>.<pause:0.5>.<pause:0.5><volume:1> 好的，<pause:0.75> 伙伴们！
l1e7 89,,And their incredible adventure has begun!,И их невероятное приключение началось!,¡Y su increíble aventura ha comenzado!,Et leur incroyable aventure a commencé !,Und ihr unglaubliches Abenteuer hat begonnen!,E a incrível aventura deles começou!,他们的奇妙冒险之旅就此开始！
